cardTextLength,hasFormulas,questionType,responseTimeMs,hourOfDay,dayOfWeek,fatigueLevel,cardsReviewedInSession,totalReviewsBefore,correctRateBefore,streakCorrectBefore,daysSinceLastReview,linkedCardsCount,linkedCardsMastery,wasCorrect
14,false,"FACT",643,18,7,0.019,19,0,0.0,0,0,0,0.5,false
10,false,"FACT",626,18,7,0.068,18,0,0.0,0,0,0,0.5,true
9,false,"FACT",651,18,7,0.017,17,0,0.0,0,0,0,0.5,false
11,false,"FACT",619,18,7,0.066,16,0,0.0,0,0,0,0.5,true
9,false,"FACT",585,18,7,0.015,15,0,0.0,0,0,0,0.5,false
10,false,"FACT",640,18,7,0.064,14,0,0.0,0,0,0,0.5,true
9,false,"FACT",660,18,7,0.063,13,0,0.0,0,0,0,0.5,false
13,false,"FACT",698,18,7,0.062,12,0,0.0,0,0,0,0.5,false
6,false,"FACT",658,18,7,0.011,11,0,0.0,0,0,0,0.5,false
7,false,"FACT",661,18,7,0.01,10,0,0.0,0,0,0,0.5,true
9,false,"FACT",842,18,7,0.059,9,0,0.0,0,0,0,0.5,true
8,false,"FACT",734,18,7,0.008,8,0,0.0,0,0,0,0.5,false
9,false,"FACT",717,18,7,0.057,7,0,0.0,0,0,0,0.5,true
8,false,"FACT",735,18,7,0.006,6,0,0.0,0,0,0,0.5,false
5,false,"FACT",767,18,7,0.055,5,0,0.0,0,0,0,0.5,true
5,false,"FACT",857,18,7,0.004,4,0,0.0,0,0,0,0.5,false
16,false,"FACT",1043,18,7,0.053,3,0,0.0,0,0,0,0.5,true
16,false,"FACT",1136,18,7,0.052,2,0,0.0,0,0,0,0.5,false
18,false,"FACT",1004,18,7,0.001,1,0,0.0,0,0,0,0.5,false
11,false,"FACT",2072,18,7,0.0,0,0,0.0,0,0,0,0.5,true
2,false,"FACT",821,17,7,0.01,10,0,0.0,0,0,0,0.5,false
2,false,"FACT",821,17,7,0.01,10,0,0.0,0,0,0,0.5,false
2,false,"FACT",798,17,7,0.059,9,0,0.0,0,0,0,0.5,true
2,false,"FACT",798,17,7,0.059,9,0,0.0,0,0,0,0.5,true
2,false,"FACT",686,17,7,0.008,8,0,0.0,0,0,0,0.5,false
2,false,"FACT",686,17,7,0.008,8,0,0.0,0,0,0,0.5,false
2,false,"FACT",738,17,7,0.057,7,0,0.0,0,0,0,0.5,true
2,false,"FACT",738,17,7,0.057,7,0,0.0,0,0,0,0.5,true
2,false,"FACT",719,17,7,0.006,6,0,0.0,0,0,0,0.5,false
2,false,"FACT",719,17,7,0.006,6,0,0.0,0,0,0,0.5,false
2,false,"FACT",747,17,7,0.055,5,0,0.0,0,0,0,0.5,true
2,false,"FACT",747,17,7,0.055,5,0,0.0,0,0,0,0.5,true
2,false,"FACT",758,17,7,0.054,4,0,0.0,0,0,0,0.5,false
2,false,"FACT",758,17,7,0.054,4,0,0.0,0,0,0,0.5,false
2,false,"FACT",774,17,7,0.053,3,0,0.0,0,0,0,0.5,false
2,false,"FACT",774,17,7,0.053,3,0,0.0,0,0,0,0.5,false
2,false,"FACT",957,17,7,0.38701287,2,0,0.0,0,0,0,0.5,false
2,false,"FACT",957,17,7,0.38701287,2,0,0.0,0,0,0,0.5,false
2,false,"FACT",4824,17,7,0.051,1,0,0.0,0,0,0,0.5,true
2,false,"FACT",4824,17,7,0.051,1,0,0.0,0,0,0,0.5,true
6,false,"FACT",2143,17,7,0.0,0,0,0.0,0,0,0,0.5,false
6,false,"FACT",2143,17,7,0.0,0,0,0.0,0,0,0,0.5,false
